Model,Parameters,Accuracy,Mean Score,Std Score,
NB,MultinomialNB(alpha=10.0),0.57047619,0.581047619,0.00702054,
K Nearest Neighbour,"KNeighborsClassifier(metric='manhattan', n_neighbors=9)",0.746904762,0.752285714,0.010572715,
Decision Tree,DecisionTreeClassifier(max_depth=4),0.801190476,0.795095238,0.0065847,
Gradient Booster,"GradientBoostingClassifier(n_estimators=200, random_state=42)",0.79952381,0.811095238,0.006861275,
Random Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.815714286,0.810714286,0.007968902,
Logistic Regression,"LogisticRegression(C=1, max_iter=10000, solver='saga')",0.789047619,0.790047619,0.00582998,
MLP1,"MLPClassifier(activation='logistic', alpha=0.001, batch_size=128,
              hidden_layer_sizes=(50,), learning_rate='adaptive', max_iter=500)",0.805238095,0.804809524,0.008290229,x
MLP2,"MLPClassifier(activation='logistic', batch_size=32, hidden_layer_sizes=(50,),
              learning_rate='adaptive', max_iter=2000)",0.807142857,0.803857143,0.009953292,x
x,x,x,x,x,
Logistic Regression,"LogisticRegression(C=1, max_iter=10000, penalty='l1', solver='saga')",0.792380952,0.790047619,0.005739824,
MLP1,"MLPClassifier(activation='logistic', alpha=0.001, batch_size=128,
              hidden_layer_sizes=(50,), learning_rate='adaptive', max_iter=500)",0.81452381,0.808095238,0.006605158,
MLP2,"MLPClassifier(activation='logistic', batch_size=32, hidden_layer_sizes=(50,),
              learning_rate='adaptive', max_iter=2000)",0.807380952,0.807190476,0.007527576,
MLP3,"MLPClassifier(activation='logistic', batch_size=32, learning_rate='adaptive',
              max_iter=500)",0.803095238,0.80752381,0.008258302,
SVM,"LinearSVC(C=10, dual=False, max_iter=10000)",0.817380952,0.796,0.005286358,
Gaussian SVM,"SVC(C=1, gamma=0.1)",0.806904762,0.786761905,0.007052765,
